Ref,Val,Package,PosX,PosY,Rot,Side
"RGB5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",162.951400,74.990000,180.000000,bottom
"RGB6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",197.151400,75.680000,180.000000,bottom
"RGB7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",230.281400,76.070000,180.000000,bottom
"RGB8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",263.871400,75.180000,180.000000,bottom
"RGB9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",261.801400,18.750000,180.000000,bottom
"RGB10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",230.491400,19.620000,180.000000,bottom
"RGB11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",187.781400,18.820000,180.000000,bottom
"RGB12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",163.421400,18.800000,180.000000,bottom
"RGB13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.311400,18.650000,180.000000,bottom
"RGB14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.031400,19.070000,180.000000,bottom
"RGB15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",66.531400,18.820000,180.000000,bottom
"RGB16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.961400,18.800000,180.000000,bottom
"SW1","SW_Push","SW_SPST_TL3342",28.092400,36.576000,270.000000,bottom
"U1","STM32F303CBTx","LQFP-48_7x7mm_Pitch0.5mm",30.531400,53.720000,180.000000,bottom
"U2","TLV70233_SOT23-5","SOT-23-5",18.931400,60.320000,270.000000,bottom
"U3","NUF2221W1T2G","SOT-363",18.110200,80.187800,180.000000,bottom
"U4","74LVC1G34","SOT-353_SC-70-5",24.401400,75.280000,0.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",18.213400,96.570800,0.000000,bottom
"Y1","8MHz","Crystal_SMD_5032-4pin_5.0x3.2mm",44.381400,59.150000,180.000000,bottom
